EntryNum	Species_CN	Species_Latin	Genus_CN	Genus_Latin	Family_CN	Family_Latin	DiseaseName	Viruses	Symptoms	Figures	Description
19	西葫芦	Cucurbita pepo	南瓜属(属		虎耳草科	Cucurbitaceae		zucchini   yellow   mosaic   virus; 包括小西葫芦黄化花叶病毒; zucchini   yellow   mosaic   virus,ZYMV		3	南瓜又名饭瓜、金瓜、倭瓜，一年生 草本植物，是我国重要的蔬菜品种之一。 除地下根系外，南瓜地上部分的各个器 官，即嫩梢、叶、花、果、种子，均可食 用。南瓜用途多样，既可作为蔬菜食用， 其籽也可利用，还能作为饲料，同时是观 赏植物及瓜类嫁接的理想砧木。因此，南 瓜在全国范围内的栽培与应用相当普遍， 其播种面积和产量均位于世界前列。
20	黄瓜	Cucumis  sativus	黄瓜属(属		虎耳草科	Cucurbitaceae				1	黄瓜又名胡瓜、刺瓜、青瓜、旱黄瓜，为一年生的攀援性草本植物。在我国，黄 瓜是一种很重要的设施蔬菜，其果实可食用，具有皮薄肉厚、肉质脆嫩、有清香味等 特点，深受人们的喜爱。黄瓜的茎藤具有消炎、祛痰、镇痉等作用，黄瓜中的黄酮类 化合物、多糖、葫芦素(主要为葫芦素B 和葫芦素C)   具有抗衰老、抗肿瘤、保肝等 作用。
21	葫芦	Lagenaria siceraria	葫芦属 (属		虎耳草科	Cucurbitaceae				1	葫芦俗称瓠、瓠瓜、大葫芦、小葫芦、葫芦瓜， 一年生蔓生或攀援藤本植物。葫芦 是世界上最古老的作物之一，在我国已有7000多年的历史，目前，我国各地均有栽培。 葫芦的用途较为广泛：葫芦果实可作蔬菜；葫芦花可用于解毒，且对各种瘘疮十分有 效；葫芦瓤及籽，可治牙痛、面目及四肢肿、小便不通、鼻塞及痈疽恶疮；葫芦壳可用
22	丝瓜	Luffa aegyptiaca	丝瓜属 (属		虎耳草科	Cucurbitaceae		melon mosaic virus; turnip mosaic virus; tomato ringspot virus	感病叶尖端先出现黄色环斑或黄绿相间花 叶，病害严重时则整个叶片呈现黄色花叶、明显皱缩和泡斑症状，如图22所示。	1	丝瓜是一年生攀援藤本，在我国南北方均被广泛种植，也广泛栽培于世界温带、热 带地区。丝瓜可药食两用，不仅可作为蔬菜供人们食用，还可入药发挥其价值，比如清 热、利尿、活血、通经、解毒等。此外，成熟丝瓜内的网状纤维组织——丝瓜络常被家 庭作为海绵的替代品，用于清洁洗刷厨具或家具。
25	赤豆	Vigna  angularis	刺果瓜属(属		虎耳草科	Cucurbitaceae				3	刺果瓜是一年生草质藤本植物，常生长于路边、堤岸、景区和农田等地，能够攀附 在玉米、大豆、谷子等多种作物上，其种子可寄生在植物上，从中吸收水分进行生长繁 殖，对作物造成严重危害。1997年，刺果瓜在大连首次被发现，随后，在辽宁其他地区、 北京、河北等地也有被发现。2017年，刺果瓜被列入《中国自然生态系统外来入侵物种 名单》中。
26	菜豆	Phaseolus vulgaris	菜豆属(属		虎耳草科	Fabaceae		方菜豆花叶病毒; south bean mosaic virus; peanut clump virus; peanut  stunt  virus; bean  common mosaic virus; 的病毒有菜豆普通花叶病毒		1	菜豆，俗名香菇豆、芸豆、四季豆、云扁豆、矮四季豆、地豆、豆角，一年生、缠 绕或近直立草本植物。菜豆生长期短，栽培容易，供应期长，喜温暖，不耐霜冻，喜 光，在荚果类蔬菜中栽培最为普遍。它主要起源于中美洲的墨西哥和南美洲的阿根廷， 中国为次起源中心。中国大部分省份都有菜豆分布，但主要分布于黑龙江、内蒙古、山 西、陕西、四川、贵州、云南等省份，西藏和海南菜豆资源较少。
27	落花生	Arachis  hypogaea	落花生属(属		虎耳草科	Fabaceae		peanut  stripe  virus; peanut  mottle   virus; 花生的病毒有花生条纹病毒; capsicum  chlorosis  virus; 关病毒为菜豆普通花叶病毒		1	花生，一年生草本植物，果实富含油脂及蛋白质，不仅是被广泛食用、营养丰富的 优质坚果，还是食用油、花生蛋白等产品的主要原料之一，被广泛种植于世界各地。花 生在我国各省份均有种植，其中以河南、山东、河北为核心的北方产区(含苏北和淮 北)花生种植面积和产量均占全国的一半以上，其次为华南产区(含广东、广西、福 建、海南及湘南、赣南地区)和长江流域产区[含四川、湖北、湖南(除湘南地区外)、 江西(除赣南地区
28	刺槐	Robinia pseudoacacia	刺槐属(属		虎耳草科	Fabaceae		刺槐的病毒有刺槐花叶病毒; robinia  moasic  virus		1	刺槐又名洋槐，落叶乔木，原产于美国东部，现在我国大部分地区都有栽植，主要 包括吉林、辽宁、新疆、甘肃、青海、陕西、北京、天津、河北、山西、江苏等地。刺 槐属于强阳性树种，喜光照，较耐干旱和贫瘠，能在碱性、中性等多种土壤中生长。它 生长快，萌芽力强，根系浅而发达，为优良固沙保土树种。刺槐材质硬重，抗腐耐磨， 宜做农业车辆、枕木、建筑、矿柱等多种用材。
29	龙爪槐	Styphnolobium japonicum	槐属(属		虎耳草科	Fabaceae				1	龙爪槐，为国槐变种下的一个栽培变型，又名垂槐、盘槐，落叶小乔木，原产于我  国北方，现在全国各地均有分布，是华北平原和黄土高原的重要园林绿化树种。龙爪槐  喜干燥和阳光充足的环境，耐寒，耐旱，不耐阴湿，萌芽力强，寿命长，土壤以深厚、 肥沃、排水良好的沙质壤土为宜。龙爪槐树枝扭转弯曲下垂，树姿优美，树姿如伞，姿 态别致，且对二氧化硫、氯气有一定的抗性，在江南地区被广泛栽植。
30	红车轴草	Trifolium pratense	车轴草属(属		虎耳草科	Fabaceae				0	
